TA 138  	I	S	TPU 	TA  	TACA                          	19/04/2011	10:38	10:38	CLO 	CALI                          	GYE 	GUAYAQUIL                     	     	6 -22	EMBARCANDO          	24   	0
LA 2115 	N	L	LAN 	LA  	LAN                           	19/04/2011	10:40	     	JUL 	JULIACA                       	CUZ 	CUSCO                         	     	  -  	                    	     	0
TA 134  	I	S	TPU 	TA  	TACA                          	19/04/2011	10:40	10:40	    	MEDELLIN                      	UIO 	QUITO                         	     	6 -22	LLAMADA             	25   	0
TA 055  	I	S	TPU 	TA  	TACA                          	19/04/2011	10:42	10:42	SCL 	SANTIAGO                      	    	                              	     	6 -22	LLAMADA             	20   	0
TA 025  	I	S	TPU 	TA  	TACA                          	19/04/2011	10:45	10:45	    	B.AIRES                       	    	                              	     	6 -22	LLAMADA             	15   	0
LA 1630 	I	S	LAN 	LA  	LAN                           	19/04/2011	10:45	10:45	GYE 	GUAYAQUIL                     	    	                              	     	39-54	EMBARCANDO          	21   	0
LR 624  	I	S	LRC 	LR  	LACSA                         	19/04/2011	10:50	10:50	SJO 	SAN JOSE                      	    	                              	     	6 -22	EMBARCANDO          	14   	P
UA 5392 	I	S	UAL 	UA  	UNITED AIRLINES               	19/04/2011	10:50	10:50	SJO 	SAN JOSE                      	    	                              	     	6 -22	EMBARCANDO          	14   	S
W4 1362 	N	L	LCB 	W4  	LC BUSRE                      	19/04/2011	10:55	10:27	    	HUARAZ                        	    	                              	     	  -  	CONFIRMADO          	     	0
2I 100  	N	S	STP 	2I  	STAR PERU                     	19/04/2011	11:00	11:00	MVV 	MALVINAS                      	    	                              	     	33-36	LLAMADA             	4    	
LA 2638 	I	L	LAN 	LA  	LAN                           	19/04/2011	11:00	10:51	SCL 	SANTIAGO                      	    	                              	     	  -  	CONFIRMADO          	     	0
LA 4640 	I	L	LAN 	LA  	LAN                           	19/04/2011	11:10	10:39	    	B.AIRES                       	    	                              	     	  -  	CONFIRMADO          	     	0
LA 2424 	I	L	LAN 	LA  	LAN                           	19/04/2011	11:10	10:56	COR 	CORDOBA                       	    	                              	     	  -  	CONFIRMADO          	     	0
LA 2096 	N	L	LAN 	LA  	LAN                           	19/04/2011	11:10	10:48	JUL 	JULIACA                       	    	                              	     	  -  	CONFIRMADO          	     	0
